LLL05
 1.0000002     0.0005843
 0.9858764     0.0065477
 0.9594535     0.0179136
 0.9284950     0.0312513
 0.8951615     0.0453276
 0.8609026     0.0589269
 0.8262902     0.0719054
 0.7915281     0.0844786
 0.7566985     0.0957164
 0.7218365     0.1054540
 0.6869669     0.1140727
 0.6521095     0.1217066
 0.6172849     0.1281994
 0.5825116     0.1334858
 0.5478079     0.1376227
 0.5132069     0.1407001
 0.4787269     0.1426845
 0.4443922     0.1434290
 0.4103372     0.1429061
 0.3767438     0.1413116
 0.3436399     0.1387203
 0.3108492     0.1348259
 0.2783731     0.1297947
 0.2463124     0.1239442
 0.2148095     0.1170456
 0.1841045     0.1088186
 0.1545154     0.0996374
 0.1267492     0.0899248
 0.1013231     0.0799733
 0.0794512     0.0701710
 0.0612747     0.0609293
 0.0465430     0.0525345
 0.0352134     0.0451023
 0.0262716     0.0383675
 0.0189788     0.0323843
 0.0131300     0.0268818
 0.0086207     0.0216802
 0.0052134     0.0164123
 0.0027316     0.0114727
 0.0010726     0.0073041
 0.0001826     0.0035661
 0.0000360    -0.0003527
 0.0006510    -0.0038303
 0.0020631    -0.0074640
 0.0043565    -0.0108121
 0.0076034    -0.0136929
 0.0119118    -0.0162694
 0.0174675    -0.0184918
 0.0243458    -0.0205280
 0.0326185    -0.0224310
 0.0427922    -0.0242127
 0.0559207    -0.0255585
 0.0726132    -0.0263730
 0.0931091    -0.0266764
 0.1181950    -0.0262602
 0.1467430    -0.0249528
 0.1779250    -0.0231362
 0.2107501    -0.0208498
 0.2446249    -0.0182005
 0.2792029    -0.0152269
 0.3142325    -0.0122249
 0.3496520    -0.0095191
 0.3852933    -0.0070846
 0.4208691    -0.0046162
 0.4564189    -0.0022364
 0.4920913    -0.0000325
 0.5279373     0.0020778
 0.5639162     0.0041559
 0.6000169     0.0060944
 0.6362260     0.0077298
 0.6725210     0.0089794
 0.7088843     0.0099041
 0.7452960     0.0105198
 0.7817310     0.0103572
 0.8181535     0.0090905
 0.8544807     0.0079270
 0.8904896     0.0070265
 0.9255544     0.0052594
 0.9580283     0.0032040
 0.9854846     0.0014140
 1.0000002     0.0005843
